file,localUrl,productionUrl,title,description,keywords,ogTitle,ogUrl,sizeBytes,lines
"about.html","http://localhost:8000/about.html","https://upperroomdfw.com/about.html","About Upper Room DFW | Local Church Directory for Dallas-Fort Worth","Learn about Upper Room DFW — the trusted, community-powered directory helping people find churches and ministries across Dallas, Fort Worth, Arlington, Plano, and the DFW metroplex since 2017.","","About Upper Room DFW","https://upperroomdfw.com/about.html","8911","166"
"admin.html","http://localhost:8000/admin.html","https://upperroomdfw.com/admin.html","Admin Portal | Upper Room DFW","Secure admin portal for Upper Room DFW — manage church listings, billing, leads, integrations, email campaigns, and platform analytics.","","","https://upperroomdfw.com/admin.html","11155","193"
"billing-hub.html","http://localhost:8000/billing-hub.html","https://upperroomdfw.com/billing-hub.html","Billing & Payments | Upper Room DFW","Billing and payment hub for Upper Room DFW church partners — Stripe, PayPal, subscriptions, invoices, and membership plans.","","","https://upperroomdfw.com/billing-hub.html","3364","63"
"blog.html","http://localhost:8000/blog.html","https://upperroomdfw.com/blog.html","Blog | Upper Room DFW — Faith Stories, Tips &amp; DFW Church Insights","Faith stories, DFW church insights, directory tips, and community news from Upper Room DFW.","","","https://upperroomdfw.com/blog.html","8245","186"
"churches\all-nations-fellowship.html","http://localhost:8000/churches/all-nations-fellowship.html","https://upperroomdfw.com/churches/all-nations-fellowship.html","All Nations Fellowship | Irving, TX | Upper Room DFW","Intentionally multi-ethnic, multilingual church celebrating the diversity of God","","All Nations Fellowship — Irving","https://upperroomdfw.com/churches/all-nations-fellowship.html","7843","141"
"churches\bridge-of-hope-ministries.html","http://localhost:8000/churches/bridge-of-hope-ministries.html","https://upperroomdfw.com/churches/bridge-of-hope-ministries.html","Bridge of Hope Ministries | Dallas, TX | Upper Room DFW","Bridge of Hope Ministries — street outreach, mobile showers, hot meals, and long-term recovery for the homeless in South Dallas and Oak Cliff.","","","https://upperroomdfw.com/churches/bridge-of-hope-ministries.html","3058","40"
"churches\calvary-chapel-fort-worth.html","http://localhost:8000/churches/calvary-chapel-fort-worth.html","https://upperroomdfw.com/churches/calvary-chapel-fort-worth.html","Calvary Chapel Fort Worth | Fort Worth, TX | Upper Room DFW","Calvary Chapel Fort Worth — verse-by-verse Bible teaching church with a heart for the lost and strong emphasis on the Holy Spirit. Casual atmosphere.","","","https://upperroomdfw.com/churches/calvary-chapel-fort-worth.html","3113","40"
"churches\covenant-church-dallas.html","http://localhost:8000/churches/covenant-church-dallas.html","https://upperroomdfw.com/churches/covenant-church-dallas.html","Covenant Church | Dallas, TX | Upper Room DFW","Covenant Church in Dallas — one of the largest and most diverse multi-campus congregations in DFW with powerful worship, prayer, and extensive local and global outreach.","","","https://upperroomdfw.com/churches/covenant-church-dallas.html","3112","40"
"churches\dfw-faith-fest.html","http://localhost:8000/churches/dfw-faith-fest.html","https://upperroomdfw.com/churches/dfw-faith-fest.html","DFW Faith Fest | Frisco, TX | Upper Room DFW","DFW Faith Fest — the largest annual multi-church worship and community festival in North Texas. Free concerts, food trucks, kids zone. March in Frisco.","","DFW Faith Fest — Annual Celebration","https://upperroomdfw.com/churches/dfw-faith-fest.html","3607","46"
"churches\elevate-youth-dallas.html","http://localhost:8000/churches/elevate-youth-dallas.html","https://upperroomdfw.com/churches/elevate-youth-dallas.html","Elevate Youth Dallas | DFW Youth Ministry | Upper Room DFW","Elevate Youth Dallas — high-energy discipleship-focused youth ministry serving 6th–12th graders across North and East Dallas through partner churches.","","","https://upperroomdfw.com/churches/elevate-youth-dallas.html","3479","45"
